date,cases,deaths,recovered,new_cases,new_deaths,new_recovered,active,case_fatality_rate
2023-01-08,662845600,6709706,,513076,2185,,,1012.257757
2020-06-16,8189737,482928,3942489,133632,4942,82747,3764320,5896.746135
2022-01-24,355802389,5639593,,3436860,8336,,,1585.03517
2022-09-27,615652971,6541262,,451673,1477,,,1062.491746
2020-03-08,109289,3809,60637,3080,114,2559,44843,3485.254692
2020-11-09,51036428,1336663,33153629,557095,8436,263153,16546136,2619.037132
2021-08-31,218272248,4547051,,645903,9634,,,2083.201617
2022-05-04,515463124,6273415,,538298,2261,,,1217.044384
2023-02-23,673266949,6787606,,157912,1112,,,1008.159692
2020-05-07,3854745,292929,1277941,82331,5643,38096,2283875,7599.179712
2021-04-04,131796103,2974181,,592879,10463,,,2256.653218
2021-09-17,228150798,4707548,,534976,9015,,,2063.349347
2023-01-28,668693948,6752544,,214821,1748,,,1009.810844
2021-04-27,149198713,3267505,,825288,13499,,,2190.035647
2022-09-07,606446550,6509548,,546096,1901,,,1073.391876
2022-04-17,504728557,6230648,,800155,2763,,,1234.455216
2020-09-27,33159408,1063586,22964746,291485,5443,242696,9131076,3207.493934
2021-08-25,214488330,4490905,,657460,10149,,,2093.775918
2021-10-13,239766946,4904051,,410727,6989,,,2045.340728
2020-10-23,42265883,1213347,28582748,411798,5869,207297,12469788,2870.748022
2022-03-05,445532358,6025024,,1535254,7339,,,1352.320183
2022-08-18,593791867,6467489,,815653,2477,,,1089.184504
2022-07-26,571909363,6409975,,1029616,2210,,,1120.802598
2021-10-30,247048612,5025187,,436254,7308,,,2034.088336
2020-04-14,2001227,144266,472319,86570,7202,24749,1384642,7208.877354
2021-10-07,237353640,4863843,,431484,7339,,,2049.196718
2022-03-28,483836958,6163551,,1588538,4983,,,1273.890078
2023-02-03,670004533,6764122,,205997,1748,,,1009.563617
2021-06-09,174912822,3786632,,390723,9487,,,2164.868165
2022-10-20,626368681,6577197,,444348,1569,,,1050.052022
2020-03-25,474350,22901,112971,37024,1967,4296,338478,4827.869716
