,country,year,population
167,Colombia,2023,52085168.0
168,Comoros,2020,806166.0
169,Comoros,2021,821625.0
170,Comoros,2022,836774.0
171,Comoros,2023,852075.0
172,Congo Republic,2020,5702174.0
173,Congo Republic,2021,5835806.0
174,Congo Republic,2022,5970424.0
175,Congo Republic,2023,6106869.0
176,Costa Rica,2020,5123105.0
177,Costa Rica,2021,5153957.0
178,Costa Rica,2022,5180829.0
179,Costa Rica,2023,5212173.0
180,Cote d'Ivoire,2020,26811790.0
181,Cote d'Ivoire,2021,27478249.0
182,Cote d'Ivoire,2022,28160542.0
183,Cote d'Ivoire,2023,28873034.0
184,Croatia,2020,4047680.0
185,Croatia,2021,3878981.0
186,Croatia,2022,3855641.0
187,Croatia,2023,3853200.0
188,Cuba,2020,11300698.0
189,Cuba,2021,11256372.0
190,Cuba,2022,11212191.0
191,Cuba,2023,11194449.0
192,Curacao,2020,154947.0
193,Curacao,2021,152369.0
194,Curacao,2022,149996.0
195,Curacao,2023,147862.0
196,Cyprus,2020,1237537.0
197,Cyprus,2021,1244188.0
198,Cyprus,2022,1251488.0
199,Cyprus,2023,1260138.0
200,Czechia,2020,10697858.0
201,Czechia,2021,10505772.0
202,Czechia,2022,10672118.0
203,Czechia,2023,10873689.0
204,DR Congo,2020,92853164.0
205,DR Congo,2021,95894118.0
206,DR Congo,2022,99010212.0
207,DR Congo,2023,102262808.0
208,Denmark,2020,5831404.0
209,Denmark,2021,5856733.0
210,Denmark,2022,5903037.0
211,Denmark,2023,5946952.0
212,Djibouti,2020,1090156.0
213,Djibouti,2021,1105557.0
214,Djibouti,2022,1120849.0
215,Djibouti,2023,1136455.0
216,Dominica,2020,71995.0
217,Dominica,2021,72412.0
218,Dominica,2022,72737.0
219,Dominica,2023,73040.0
220,Dominican Republic,2020,10999664.0
221,Dominican Republic,2021,11117873.0
222,Dominican Republic,2022,11228821.0
223,Dominican Republic,2023,11332972.0
224,Ecuador,2020,17588595.0
225,Ecuador,2021,17797737.0
226,Ecuador,2022,18001000.0
227,Ecuador,2023,18190484.0
228,Egypt,2020,107465134.0
229,Egypt,2021,109262178.0
230,Egypt,2022,110990103.0
231,Egypt,2023,112716598.0
232,El Salvador,2020,6292731.0
233,El Salvador,2021,6314167.0
234,El Salvador,2022,6336392.0
235,El Salvador,2023,6364943.0
236,Equatorial Guinea,2020,1596049.0
237,Equatorial Guinea,2021,1634466.0
238,Equatorial Guinea,2022,1674908.0
239,Equatorial Guinea,2023,1714671.0
240,Eritrea,2020,3555868.0
241,Eritrea,2021,3620312.0
242,Eritrea,2022,3684032.0
243,Eritrea,2023,3748901.0
244,Estonia,2020,1329522.0
245,Estonia,2021,1330932.0
246,Estonia,2022,1348840.0
247,Estonia,2023,1366188.0
248,Eswatini,2020,1180655.0
249,Eswatini,2021,1192271.0
250,Eswatini,2022,1201670.0
251,Eswatini,2023,1210822.0
252,Ethiopia,2020,117190911.0
253,Ethiopia,2021,120283026.0
254,Ethiopia,2022,123379924.0
255,Ethiopia,2023,126527060.0
256,Faroe Islands,2020,52415.0
257,Faroe Islands,2021,52889.0
258,Faroe Islands,2022,53090.0
259,Faroe Islands,2023,53270.0
260,Fiji,2020,920422.0
261,Fiji,2021,924610.0
262,Fiji,2022,929766.0
263,Fiji,2023,936375.0
264,Finland,2020,5529543.0
265,Finland,2021,5541017.0
266,Finland,2022,5556106.0
267,Finland,2023,5584264.0
268,France,2020,67571107.0
269,France,2021,67764304.0
270,France,2022,67971311.0
271,France,2023,68170228.0
272,French Polynesia,2020,301920.0
273,French Polynesia,2021,304032.0
274,French Polynesia,2022,306279.0
275,French Polynesia,2023,308872.0
276,Gabon,2020,2292573.0
277,Gabon,2021,2341179.0
278,Gabon,2022,2388992.0
279,Gabon,2023,2436566.0
280,Gambia,2020,2573995.0
281,Gambia,2021,2639916.0
282,Gambia,2022,2705992.0
283,Gambia,2023,2773168.0
284,Georgia,2020,3722716.0
285,Georgia,2021,3708610.0
286,Georgia,2022,3712502.0
287,Georgia,2023,3760365.0
288,Germany,2020,83160871.0
289,Germany,2021,83196078.0
