,country,year,population
834,Uruguay,2022,3422794.0
835,Uruguay,2023,3423108.0
836,Uzbekistan,2020,34232050.0
837,Uzbekistan,2021,34915100.0
838,Uzbekistan,2022,35648100.0
839,Uzbekistan,2023,36412350.0
840,Vanuatu,2020,311685.0
841,Vanuatu,2021,319137.0
842,Vanuatu,2022,326740.0
843,Vanuatu,2023,334506.0
844,Venezuela,2020,28490453.0
845,Venezuela,2021,28199867.0
846,Venezuela,2022,28301696.0
847,Venezuela,2023,28838499.0
848,Vietnam,2020,96648685.0
849,Vietnam,2021,97468029.0
850,Vietnam,2022,98186856.0
851,Vietnam,2023,98858950.0
852,Yemen,2020,32284046.0
853,Yemen,2021,32981641.0
854,Yemen,2022,33696614.0
855,Yemen,2023,34449825.0
856,Zambia,2020,18927715.0
857,Zambia,2021,19473125.0
858,Zambia,2022,20017675.0
859,Zambia,2023,20569737.0
860,Zimbabwe,2020,15669666.0
861,Zimbabwe,2021,15993524.0
862,Zimbabwe,2022,16320537.0
863,Zimbabwe,2023,16665409.0
